Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss
2018-01-26,2847.47998,2872.870117,2846.179932,2872.870117,2872.870117,3443230000,25.390136999999868
2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3471780000,23.81005899999991
2018-01-17,2784.98999,2807.040039,2778.379883,2802.560059,2802.560059,3778050000,17.570068999999876
2018-01-12,2770.179932,2787.850098,2769.639893,2786.23999,2786.23999,3573970000,16.060058000000026
2018-01-03,2697.850098,2714.370117,2697.77002,2713.060059,2713.060059,3538660000,15.209961000000021
2018-01-11,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3641320000,14.590087999999923
2018-01-02,2683.72998,2695.889893,2682.360107,2695.810059,2695.810059,3367250000,12.080078999999841
2018-01-05,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3236620000,11.819824000000153
2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3639430000,7.6999510000000555
2018-01-08,2742.669922,2748.51001,2737.600098,2747.709961,2747.709961,3242650000,5.040038999999979
2018-01-04,2719.310059,2729.290039,2719.070068,2723.98999,2723.98999,3695260000,4.679931000000124
2018-01-23,2835.050049,2842.23999,2830.590088,2839.129883,2839.129883,3519650000,4.079834000000119
2018-01-10,2745.550049,2750.800049,2736.060059,2748.22998,2748.22998,3576350000,2.679931000000124
2018-01-09,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,3453480000,0.14013699999986784
2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000,-4.369873000000098
2018-01-25,2846.23999,2848.560059,2830.939941,2839.25,2839.25,3835150000,-6.989990000000034
2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000,-7.8798830000000635
2018-01-31,2832.409912,2839.26001,2813.040039,2823.810059,2823.810059,4261280000,-8.599853000000167
2018-01-30,2832.73999,2837.75,2818.27002,2822.429932,2822.429932,3990650000,-10.310058000000026
2018-01-29,2867.22998,2870.620117,2851.47998,2853.530029,2853.530029,3573830000,-13.699951000000056
2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000,-22.54003899999998
