Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
2803118,,Macmillan & Co.; New York,1897,London,"The misfortunes of Elphin, and Rhododaphne ","Peacock, Thomas Love, ","Saintsbury, George Edward Bateman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002803118,British Library HMNTS 012621.h.29.
2803143,,Macmillan & Co,1896,"London, New York",Gryll Grange ,"Peacock, Thomas Love, ","Saintsbury, George Edward Bateman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002803143,British Library HMNTS 012621.h.21.
2803147,,Macmillan & Co,1896,"London, New York","Melincourt, or Sir Oran Haut-Ton ","Peacock, Thomas Love, ","Saintsbury, George Edward Bateman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002803147,British Library HMNTS 012627.l.1.
2804363,,London,1897,Privately printed,Perle,,"Gollancz, Israel , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002804363,British Library HMNTS 11611.f.30.
2805023,,London,1868,,A Short Answer to Mr,"Pearson, Charles Henry, ","Freeman, Edward Augustus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805023,British Library HMNTS 9510.g.5.
2805383,,Reading,1890,Edward J. Blackwell,Memorials of the Church and Parish of Sonning ,"Pearson, Hugh , ","Stephens, William Richard Wood , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805383,British Library HMNTS 010352.g.16.
2805595,,"Albany, N.Y",1883,,A History of the Schenectady Patent in the Dutch and English times; being contributions toward a history of the lower Mohawk Valley,"Pearson, Jonathan, ","Macmurray, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805595,British Library HMNTS 10409.cc.2.
2805721,,Halifax,1898,F. King & Sons,"Northowram, W","Pearson, Mark, ","Heywood, Oliver, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805721,British Library HMNTS 010360.ee.9.
2805887,,London,1863,Emily Faithfull,"Papers, Letters and Journals of William Pearson","Pearson, William , ","Pearson, Ann , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805887,British Library HMNTS 12273.g.12.
2805935,,New York,1893,Contemporary Publishing Co.,My Arctic Journal,"Peary, Josephine Diebitsch, ","Peary, Robert Edwin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002805935,British Library HMNTS 10460.e.34.|British Library HMNTS 10460.e.32.
