Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes,"A, ","Forbes, Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
216,,London; Virtue & Yorston,1868,Virtue & Co.,All for Greed,"A, ","Blaze De Bury, Marie Pauline Rose , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
218,,London,1869,"Bradbury, Evans & Co.",Love the Avenger,"A, ","Blaze De Bury, Marie Pauline Rose , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
472,,London,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century","A, ","Appleyard, Ernest Silvanus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
480,"A new edition, revised, etc.",London,1857,Wertheim & Macintosh, Edited by ,"A, ","Broome, John Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
481,"Fourth edition, revised, etc.",London,1875,William Macintosh, Edited by ,"A, ","Broome, John Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
519,,London,1872,The Author,Lagonells,"A, ","Ashley, Florence Emily, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
667,,"pp. 40. G. Bryan & Co: Oxford, 1898",,,"The Coming of Spring, and other poems","A, ","Andrews, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
874,,London],1676,,"A Warning to the inhabitants of England, and London in particular ","Remaʿ, ","Adams, Mary, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
1143,,London,1679,,A Satyr against Vertue,"A, ","Oldham, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
1280,,Coventry,1802,Printed by J. Turner,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ",,"Carte, Samuel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
1808,,Christiania,1859,,Erindringer som Bidrag til Norges Historie fra 1800-1815,"Aall, Jacob, ","Aall, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
1905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ,"Aar, Ermanno , ","S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
1929,,Amsterdam,"1839, 38-54",,De Aardbol,,"Witkamp, Pieter Harme, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
2836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ,"Abate, Giovanni Agostino, ","Assereto, Giovanni, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
2854,,London,1865,E. Moxon & Co.,See-Saw; a novel ,"Abati, Francesco, ","Reade, William Winwood, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
2956,,Paris,1860-63,,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R","Abbadie, Antoine Thompson D', ","Radau, Rodolphe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
2957,,Paris,1873,,,"Abbadie, Antoine Thompson D', ","Radau, Rodolphe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
3017,"Nueva edicion, anotada ... y continuada ... por J. J. de Acosta y Calbo.",Puerto-Rico,1866,,,"Abbad Y Lasierra, AgustíN ÍÑIgo , ","Acosta Y Calbo, José Julian De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
3131,,New York,1899,W. Abbatt,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ","Abbatt, William, ","André, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
4598,,Hull,1814,The Author,Peace: a lyric poem,"Abbott, Thomas Eastoe, ","Wrangham, Francis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
4884,,London,1820,J. Hatchard & Son,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts",,"Barham, Thomas Foster , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
4976,"[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit, partim a Pocockio versum edendum curavit, notisque illustravit J. White. Arab. & Lat.",Oxonii,1800,"J. Cooke, etc.", Arab,,"White, Joseph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
5382,,London,"1847, 48 [1846-48]",Punch Office,The Comic History of England ,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
5385,[Another edition.] Illustrated by John Leech.,London,[1897?],"Bradbury, Agnew & Co.",,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
5389,[Another edition.],London,[1897?],"Bradbury, Agnew & Co.",,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
5432,,Milano,1893,,Signa: opera in tre atti  ,"A'Beckett, Gilbert Arthur , ","Mazzucato, Giovanni Andrea, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005432,British Library HMNTS 11779.g.8.(10.)
6036,,London,1805,C. & R. Baldwin,"The Venetian Outlaw, a drama in three acts ",,"Elliston, Robert William, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
6821,,Aberdeen,1837,J. Davidson & Co.,Description of the Coast between Aberdeen and Leith,,"Duncan, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006821,British Library HMNTS 797.d.2.
7521,,Wien,1896,,Aus Kaukasischen Ländern,"Abich, Wilhelm Hermann, ","Abich, AdelaïDe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007521,British Library HMNTS 10077.h.21.
7630,,Abingdon,1898,W. H. Hooke,Selections from the Municipal Chronicles of the Borough of Abingdon from A,,"Challenor, Bromley, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007630,British Library HMNTS 10352.dd.26.
8239,,Quebec,1899,L. J. Demers & Frère,"The Plains of Abraham, 1759, a spot sacred to the memory of Wolfe and Montcalm",,"Brotanek, Rudolf, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008239,British Library HMNTS 10470.ff.20.
8435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines,"Abraham, FéLix , ","Simonsen, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
8440,,London,1894,Effingham Wilson,The New Era of the Goldmining Industry in the Witwatersrand ,"Abraham, FéLix , ","Simonsen, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008440,British Library HMNTS 07108.g.6.
11361,,Leipzig,[1894-96,,Tirol und Vorarlberg ,"Achleitner, Arthur , ","Ubl, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011361,British Library HMNTS 10201.g.13.
11852,,"pp. 40. W. Cann: Plymouth, [1876?]",,,"A Question of Holy Writ, suggested by a lecture on Buddha and Buddhism, delivered before the Literary Society of Exeter, by Lieut","Ackland , ","Plimsoll, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011852,British Library HMNTS 011650.k.89.(4.)
13074,,London,1899,W. Thacker & Co.,A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ,"Adair, Frederick Edward Shafto, ","Godfrey, Stuart Hill, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013074,British Library HMNTS 10077.d.27.|British Library OC V 3030
13364,,London,[1885],"Griffith, Farran & Co.",A Hand-book and History of Sidmouth from the Triassic period up to “Now,,"Hutchinson, Peter Orlando, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013364,British Library HMNTS 10358.g.35.(4.)|British Library HMNTS 10352.d.32.
14466,,London,[1860?],Adams & King,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St",,"King , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014466,British Library HMNTS 10352.i.24.
14703,,1845,1846,,First (-Third) Annual Report on the Geology of the State of Vermont,,"Adams, Charles Baker, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014703,British Library HMNTS 1254.h.9.
15141,,London,1893,T. Fisher Unwin,The New Egypt,"Adams, Francis William Lauderdale, ","Longsdon, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015141,British Library HMNTS 010096.e.61.
15146,,London,1894,T. Fisher Unwin,Tiberius: a drama ,"Adams, Francis William Lauderdale, ","Rossetti, William Michael, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015146,British Library HMNTS 11781.gg.4.
16173,,enk,1817,"printed by W. Thorne, and published by J. Callow; J. Hunter; and J. Ridgway","Memoirs of the Life and Doctrines of the late John Hunter, Esq","Adams, Joseph , ","Hunter, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016173,British Library HMNTS 982.c.27.|British Library HMNTS RB.23.b.4745.
16543,,London,1816,John Murray,"The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ","Adams, Robert , ","Cock, Simon, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016543,British Library HMNTS 983.e.7.|British Library HMNTS 147.e.3.|British Library HMNTS G.2842.
16544,[Another edition.],Boston,1817,Wells & Lilley,],"Adams, Robert , ","Cock, Simon, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016544,British Library HMNTS 789.bb.21.
17602,,London,1897,J. Bowden,East End Idylls ,"Adcock, Arthur St, ","Adderley, James Granville , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017602,British Library HMNTS 012625.i.5.
17752,,Upsaliæ,[1833],,Acta historiam regis Chistierni II,"Adde, Petrus Adolphus, ","Geijer, Erik Gustaf, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017752,British Library HMNTS 9425.bb.13.
18173,[Another edition.] With a complete index. [With a portrait engraved by Hopewood.],London,1804,Vernor & Hood,]: Works,"Addison, Joseph , ","Tickell, Thomas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018173,British Library HMNTS 12269.d.7.
18218,,Edinburgh,1859,James Nichol,The Poetical Works of Joseph Addison; Gay's Fables; and Somerville's Chase,"Addison, Joseph","Gilfillan, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018218,British Library HMNTS 11603.f.1.
18347,,Yverdon,1777,,"L'Esprit d'Addisson, ou les Beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr","Addison, Joseph , ","A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018347,British Library HMNTS 12270.pp.15.
18469,,Londini,1799,F. & C. Rivington,"Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax, anno 1701","Addison, Joseph , ","Murphy, Arthur, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018469,British Library HMNTS 11647.f.44.(2.)
19340,,St. Petersburg,1827,,Augustin Freiherr von Meyerberg und seine Reise nach Russland,"Adelung, Friedrich Von, ","Mayer, Augustin , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000019340,British Library HMNTS 10291.e.1.
20207,,Berlin,1866,,Studien zur Cultur-Geschichte Polens,"Adler, Carl , ","Długosz, Jan, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020207,British Library HMNTS 9475.bbb.21.
20960,,London,1853,Addey & Co.,"The Diary and Houres of the Ladye Adolie, a faythfulle childe",,"Pepys, Charlotte Maria , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020960,British Library HMNTS 12620.d.7.
21119,,London,1874,Chapman & Hall,"Lays of Modern Oxford, by Adon",,"Edwards, Mary Ellen, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021119,British Library HMNTS 11650.g.9.
21430,,London,1790,J. Johnson,"Adriano; or, the first of June, a poem",,"Hurdis, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021430,British Library HMNTS 11632.d.48.(2.)|British Library HMNTS 992.k.27.(3.)|British Library HMNTS 1508/379.(2.)
21782,,London,[1817.],J. Johnston,The Adventures of a Post Captain,,"Williams, Samuel , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021782,British Library HMNTS 11642.g.19.
22060,,Sceaux,1883,,Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours ,"Advielle, Victor, ","Charaire, Michel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022060,British Library HMNTS 10169.k.5.
22105,,London,1795,J. Debrett,"The National Advocates, a poem",,"Gibbs, Vicary , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105,British Library HMNTS 644.k.24.(5.)|British Library HMNTS 11641.h.11.(7.)
22278,,Coblenz,1865,,Das Hochgebirge von Grindelwald,"Aeby, Christoph, ","Fellenberg, Edmund Von, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022278,British Library HMNTS 10196.f.21.
23565,,London,1877,Chatto & Windus,Prometheus the Fire-giver,"Aeschylus, ","Bennett, William Cox, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000023565,British Library HMNTS 11652.c.8.
24344,,Leipzig,1853,,Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam ,,"Wuttke, Heinrich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024344,British Library HMNTS 10006.d.7.(1.)
24878,,London,"1886, [1885]",Hodder & Stoughton,The Children of Africa,,"Marston, Annie Wright, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024878,British Library HMNTS 10095.e.1.
27797,,London,[1834],William W. Clowes,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc",,"Cooley, William Desborough, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000027797,British Library HMNTS 010096.h.36.
28615,,"Carlstad, Stockholm",1852-63,,Försök till en statsekonomisk statistik öfver Sverige,"Agardh, C, ","Ljungberg, Carl Edvard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028615,British Library HMNTS 10281.e.6.
28630,,Carlstad,1857,,Inledning till Sveriges fysiska geografi,"Agardh, C, ","Dahlman, Carl Edvard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028630,British Library HMNTS 10280.ee.3.
28758,,Boston,"1866, 76",Ticknor & Fields; J. R. Osgood,Geological Sketches,"Agassiz, Louis","A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028758,British Library HMNTS 7108.aa.5.
28784,,Paris,1869,,"Voyage au Brésil, traduit de l'anglais ","Agassiz, Louis","Agassiz, Elizabeth Cabot Cary, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028784,British Library HMNTS 10481.g.14.
28873,,London,1853,Chapman & Hall,Agatha's Husband,,"Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028873,British Library HMNTS 12626.e.16.
28876,[Another edition.] With illustrations by Walter Crane.,London,1875,Macillan & Co.,],,"Crane, Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028876,British Library HMNTS 12619.h.27.
29031,,London,1827,William Carpenter,The Age Reviewed: a satire,,"Montgomery, Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029031,British Library HMNTS 992.l.33.
29032,"Second edition, etc.",London,1828,W. C. Wright,],,"Montgomery, Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029032,British Library HMNTS 11642.g.36.
29285,,London,1876,Chapman & Hall,Through the Ages,,"Medina, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029285,British Library HMNTS 12636.dd.5.
29505,,A. Millar,1758,London,"Agis: a tragedy, etc",,"Home, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029505,British Library HMNTS 643.g.11.(7.)|British Library HMNTS 1607/5010.(2.)
29844,,New York,1846,"Leavitt, Trow & Co.",The Gem of the Season: with twenty plates by Sartain,"Agnew, John Holmes, ","Sartain, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029844,British Library HMNTS 11602.h.35.
30269,,Allahabad],1880,,Mathurá: a District Memoir,,"Growse, Frederic Salmon, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000030269,British Library HMNTS 10058.k.4.
31858,,London,1823,G. & W. B. Whittaker,"Ahasuerus, the Wanderer; a dramatic legend  ",,"Medwin, Thomas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000031858,British Library HMNTS 993.i.1.
32896,,Stuttgart,1887,,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts,"Ahnfelt, Arvid, ","Martens, Klaus Heinrich Friedrich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000032896,British Library HMNTS 9431.bb.16.
33745,,London,1825,Longman & Co.,The Works of Anna Lætitia Barbauld,"Aikin, Afterwards Barbauld, Anna Laetitia, ","Aikin, Lucy",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033745,British Library HMNTS 994.h.2.|British Library HMNTS G.12828.; G.12829.
33833,,D. Appleton & Co,1850,New York,The Vicar of Wakefield ,"Goldsmith, Oliver","Aikin, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033833,British Library HMNTS 12626.w.18.
33881,"A new edition, with additions and corrections, and a supplement by R. H. Evans.",London,1810,R. H. Evans,],"Aikin, John , ","Evans, Robert Harding, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033881,British Library HMNTS 11622.c.1.
34361,,Санктпетербургъ,1889,,Кіево-Софійскій Соборъ,"Ainalov, Dmitry Vlas'Evich , ","Redn, Egor Kuz'Mich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034361,British Library HMNTS 10291.i.10.
34463,,London,1872,J. Maxwell & Co.,Robert Ainsleigh,"Ainsleigh, Robert, ","Braddon, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034463,British Library HMNTS 12627.n.1.
34538,,Paisley,1892,Alexander Gardner,"A Pilgrimage to the Land of Burns, and Poems ","Ainslie, Hew, ","Latto, Thomas C, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034538,British Library HMNTS 12272.f.15.
34785,,London,"[1860,] 1861-1863",J. Maxwell & Co.,The illustrated universal gazetteer,,"Ainsworth, William Francis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034785,British Library HMNTS 10003.d.14.
34793,,London,[1872],C. Griffin & Co.,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world ","Ainsworth, William Francis, ","Doré, Gustave",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034793,British Library HMNTS 10027.h.8.
34810,,London,1872,Tinsley Bros.,"Boscobel; or, the Royal Oak","Ainsworth, William Harrison","Rimbault, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034810,British Library HMNTS 12630.dd.1.
34826,,London,1861,Chapman & Hall,The Constable of the Tower: an historical romance ,"Ainsworth, William Harrison","Gilbert, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034826,British Library HMNTS 12634.g.1.
34852,"New edition, with illustrations by Sir John Gilbert.",London,[1874.],G. Routledge & Sons,,"Ainsworth, William Harrison","Gilbert, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034852,British Library HMNTS 12620.ee.28.
34914,,London,1858 [1851-58],G. Routledge & Co.,Mervyn Clitheroe ,"Ainsworth, William Harrison","Browne, Hablot Knight, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034914,British Library HMNTS 12620.d.8.
34952,,London,1860,"Routledge, Warne & Routledge",Ovingdean Grange,"Ainsworth, William Harrison","Browne, Hablot Knight, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034952,British Library HMNTS 12621.h.18.
34967,[Another edition.] With illustrations by John Gilbert.,London,1857,G. Routledge & Co.,],"Ainsworth, William Harrison","Gilbert, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034967,British Library HMNTS 12620.e.8.
34987,,London,1857 [1856],G. Routledge & Co.,The Spendthrift: a tale ,"Ainsworth, William Harrison","Browne, Hablot Knight, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034987,British Library HMNTS 12602.g.5.
36171,,Paris,[1896],,L'Auvergne,"Ajalbert, Jean","Montader, Alfred , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036171,British Library HMNTS 10173.f.7.
36231,,London,1878,William Poole,Plimsoll's England,,"Plimsoll, Samuel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036231,British Library HMNTS 11646.g.51.(21.)
36521,[Another edition.] With memoir and critical dissertation by the Rev. George Gilfillan.,Edinburgh,1857,James Nichol,: Collections,"Akenside, Mark","Gilfillan, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036521,British Library HMNTS 11603.f.2.
36531,,Napoli,1821,, Alle Najadi,"Akenside, Mark, ","Mathias, Thomas James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036531,British Library HMNTS 11602.f.2.(6.)
36721,,London,1897,Bliss & Sands,"Triscombe Stone: a romance of the Quantock Hills, etc","Akerman, Portland Board , ","Hurst, Norman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036721,British Library HMNTS 012625.f.44.
38673,,Ἐν Κερκυρᾳ,1891,,Κερκυραϊκα ἀπομνημονευματα,"Albanas, Phriderikos, ","Delotes, I, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038673,British Library HMNTS 10127.df.27.
38986,,London,1827,William Marsh,"Scenes and Occurrences in Albany and Cafferland, South Africa",,"Phillips, T, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038986,British Library HMNTS 790.d.17.
39670,,London,1808,T. & R. Hughes,"Albert and Rosalie, or the Fire King",,"Warton, Ferdinand Fullarton, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039670,British Library HMNTS 11779.c.23.
39775,,Plymouth,1868,W. Cann,"The Prince Albert, a poem","Albert , ","Plimsoll, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039775,British Library HMNTS 11602.ee.17.(1.)
40021,,London,1886,Macmillan & Co.,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882",,"Dalton, John Neale, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040021,British Library HMNTS 10024.cc.26.
40627,,Trento,1860,,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F,"Alberti, Francesco Felice Degli, ","Gar, Tommaso, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040627,British Library HMNTS 10132.d.1.
40680,,Amsterdam,1810,,"De Kaffers aan de zuidkust van Afrika, natuur en geschiedkundig beschreuen","Alberti, Johann Christoph Ludwig, ","Konijnenburg, Jan, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040680,British Library HMNTS 10096.dd.2.
40976,,Heilbronn,1886,,Francisci Albertini Opusculum de mirabilibus novae urbis Romae,"Albertini, Francesco Degli, ","Schmarsow, August, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040976,British Library HMNTS 010136.f.78.
41050,,Torino,1880,,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto,"Albertis, Luigi Maria D', ","Gould, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041050,British Library HMNTS 10491.ee.11.
41096,,w Krakowie,1849,,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich,"Albertrandy, Jan Chrzciciel , ","Onacewicz, ŻEgota, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041096,British Library HMNTS 9455.d.9.
41097,"[Another edition.] Panowanie Henryka Walezyusza i Stefana Batorego Królów Polskich. Z rękopismów Albertrandego, podług wydania Ż. Onacewicza, z dołączeniem pamiętników historyi Stefana Batorego dotyczących, i listu J. Chiakora Sekretarza Król. opisującego ostatnie chwile tego monarchy.",w Krakowie,1860,,],"Albertrandy, Jan Chrzciciel , ","Onacewicz, ŻEgota, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041097,British Library HMNTS 9455.bb.35.
41601,,London,1724,J. Roberts,"Albion; or, the Court of Neptune",,"Cooke, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041601,British Library HMNTS 642.i.5.(1.)
41623,,London,1772,J. Wilkie,The Albion Princess: a pindaric ode,,"Colvill, Robert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041623,British Library HMNTS 11602.gg.29.(11.)
42862,,London,1812-15,"James Carpenter, etc.","The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of ","Alcedo, Antonio De, ","Thompson, George Alexander, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042862,British Library HMNTS 797.dd.2.|British Library HMNTS 146.d.15-19.
42904,,London,1873,"Smith, Elder & Co.",Alcestis,,"Cornish, Blanche Warre, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042904,British Library HMNTS 12638.d.28.
